lat_deg,lat_rad
90.0000000000,1.5707963268
89.7500000000,1.5664330037
89.5000000000,1.5620696805
89.2500000000,1.5577063574
89.0000000000,1.5533430343
88.7500000000,1.5489797111
88.5000000000,1.5446163880
88.2500000000,1.5402530649
88.0000000000,1.5358897418
87.7500000000,1.5315264186
87.5000000000,1.5271630955
87.2500000000,1.5227997724
87.0000000000,1.5184364492
86.7500000000,1.5140731261
86.5000000000,1.5097098030
86.2500000000,1.5053464798
86.0000000000,1.5009831567
85.7500000000,1.4966198336
85.5000000000,1.4922565105
85.2500000000,1.4878931873
85.0000000000,1.4835298642
84.7500000000,1.4791665411
84.5000000000,1.4748032179
84.2500000000,1.4704398948
84.0000000000,1.4660765717
83.7500000000,1.4617132485
83.5000000000,1.4573499254
83.2500000000,1.4529866023
83.0000000000,1.4486232792
82.7500000000,1.4442599560
82.5000000000,1.4398966329
82.2500000000,1.4355333098
82.0000000000,1.4311699866
81.7500000000,1.4268066635
81.5000000000,1.4224433404
81.2500000000,1.4180800172
81.0000000000,1.4137166941
80.7500000000,1.4093533710
80.5000000000,1.4049900479
80.2500000000,1.4006267247
80.0000000000,1.3962634016
79.7500000000,1.3919000785
79.5000000000,1.3875367553
79.2500000000,1.3831734322
79.0000000000,1.3788101091
78.7500000000,1.3744467859
78.5000000000,1.3700834628
78.2500000000,1.3657201397
78.0000000000,1.3613568166
77.7500000000,1.3569934934
77.5000000000,1.3526301703
77.2500000000,1.3482668472
77.0000000000,1.3439035240
76.7500000000,1.3395402009
76.5000000000,1.3351768778
76.2500000000,1.3308135546
76.0000000000,1.3264502315
75.7500000000,1.3220869084
75.5000000000,1.3177235853
75.2500000000,1.3133602621
75.0000000000,1.3089969390
74.7500000000,1.3046336159
74.5000000000,1.3002702927
74.2500000000,1.2959069696
74.0000000000,1.2915436465
73.7500000000,1.2871803233
73.5000000000,1.2828170002
73.2500000000,1.2784536771
73.0000000000,1.2740903540
72.7500000000,1.2697270308
72.5000000000,1.2653637077
72.2500000000,1.2610003846
